,place_id,name,cre_id,Longitud,Latitud,regular,premium,Estado
173,2212,Becktrop Operadora SA de CV,PL/709/EXP/ES/2015,-117.0261,32.5229,19.99,22.49,Baja California
174,2213,"ESTACION AMBAR, S. DE R.L. DE C.V.",PL/722/EXP/ES/2015,-116.924,32.49483,19.79,22.99,Baja California
181,2220,APOYOS Y SUMIN.COMERCIALES E INDUST. S.A. DE C.V.,PL/633/EXP/ES/2015,-117.0852,32.52634,19.99,22.99,Baja California
182,2221,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/398/EXP/ES/2015,-115.3744,32.65948,18.24,20.24,Baja California
183,2222,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/389/EXP/ES/2015,-115.4325,32.59562,18.49,20.29,Baja California
184,2223,"ESTACION CUCAPAH, S.A. DE C.V.",PL/687/EXP/ES/2015,-116.8796,32.51322,19.79,22.99,Baja California
186,2225,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/669/EXP/ES/2015,-116.9147,32.53901,20.29,22.99,Baja California
191,2230,Becktrop Operadora SA de CV,PL/716/EXP/ES/2015,-115.4722,32.65059,18.99,20.99,Baja California
201,2240,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/403/EXP/ES/2015,-115.5797,32.58874,18.54,20.29,Baja California
212,2251,Estacion El Encanto S.A. de C.V.,PL/726/EXP/ES/2015,-116.6503,32.56519,18.75,20.75,Baja California
213,2252,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/382/EXP/ES/2015,-115.483,32.59637,18.49,20.29,Baja California
217,2256,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/869/EXP/ES/2015,-116.8668,32.50251,19.99,22.19,Baja California
221,2260,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/682/EXP/ES/2015,-115.506,32.64334,19.49,21.59,Baja California
229,2268,"SERVICIO CIBOLA, S.A. DE C.V.",PL/670/EXP/ES/2015,-117.0165,32.53784,19.79,22.59,Baja California
231,2270,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/657/EXP/ES/2015,-116.6227,32.57238,19.69,21.59,Baja California
236,2275,"PETROMAX, S.A. DE C.V.",PL/605/EXP/ES/2015,-116.9097,32.51204,17.99,20.99,Baja California
246,2285,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/863/EXP/ES/2015,-115.4868,32.66468,18.59,21.69,Baja California
250,2289,"ESTACION DEL ROBLE, S.A. DE C.V.",PL/642/EXP/ES/2015,-116.9525,32.43441,19.99,22.59,Baja California
261,2300,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/718/EXP/ES/2015,-116.585,32.56567,19.69,21.79,Baja California
265,2304,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/644/EXP/ES/2015,-116.9668,32.40604,20.29,21.39,Baja California
268,2307,"SERVICIO CIBOLA, S.A. DE C.V.",PL/637/EXP/ES/2015,-116.9861,32.50862,19.99,22.99,Baja California
269,2308,"PETROMAX, S.A. DE C.V.",PL/449/EXP/ES/2015,-116.5928,31.79353,19.49,21.39,Baja California
270,2309,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/732/EXP/ES/2015,-117.0203,32.49725,19.99,22.99,Baja California
276,2315,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/385/EXP/ES/2015,-115.4363,32.58577,18.44,20.29,Baja California
278,2317,"EST. DE SERVICIO SAGITARIO, S.DER.L.DE C.V.",PL/641/EXP/ES/2015,-116.9871,32.46825,20.29,21.99,Baja California
285,2324,"PETROMAX, S.A. DE C.V.",PL/545/EXP/ES/2015,-116.9343,32.49222,19.89,21.79,Baja California
287,2326,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/850/EXP/ES/2015,-115.4716,32.63718,19.69,21.69,Baja California
289,2328,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/781/EXP/ES/2015,-116.9867,32.52137,19.99,22.19,Baja California
322,2361,"ESTACION HIPODROMO, S.A. DE C.V.",PL/704/EXP/ES/2015,-116.9981,32.51191,20.49,22.99,Baja California
324,2363,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/711/EXP/ES/2015,-116.9417,32.48495,19.39,22.99,Baja California
326,2365,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/780/EXP/ES/2015,-116.931,32.5438,19.69,21.79,Baja California
334,2373,"ESTACION AMBAR, S. DE R.L. DE C.V.",PL/661/EXP/ES/2015,-116.9228,32.53723,20.39,22.99,Baja California
339,2378,"ESTACION AMBAR, S. DE R.L. DE C.V.",PL/654/EXP/ES/2015,-117.0529,32.49525,18.99,22.79,Baja California
341,2380,"SERVICIO CIBOLA, S.A. DE C.V.",PL/668/EXP/ES/2015,-117.0559,32.39319,20.79,22.49,Baja California
342,2381,"SERVICIO EFIGAS, S. DE R.L. DE C.V.",PL/875/EXP/ES/2015,-116.949,32.52652,20.29,22.99,Baja California
343,2382,"SERVICIO CIBOLA, S.A. DE C.V.",PL/665/EXP/ES/2015,-116.9643,32.50297,18.99,21.39,Baja California
345,2384,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/861/EXP/ES/2015,-117.0305,32.49149,19.99,22.99,Baja California
357,2396,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/388/EXP/ES/2015,-115.5103,32.62274,18.39,20.29,Baja California
363,2402,"ESTACION HIPODROMO, S.A. DE C.V.",PL/705/EXP/ES/2015,-116.9517,32.50465,19.19,22.99,Baja California
365,2404,"VILLAFLORESTA DE TIJUANA, S.A. DE C.V.",PL/684/EXP/ES/2015,-116.9372,32.47997,19.99,21.39,Baja California
381,2420,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/656/EXP/ES/2015,-117.0118,32.53125,19.99,22.79,Baja California
409,2448,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/712/EXP/ES/2015,-115.5549,32.59245,19.39,21.69,Baja California
416,2455,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/663/EXP/ES/2015,-117.0479,32.40914,18.99,20.69,Baja California
418,2457,SERVICIO ROSA S.A. DE C.V.,PL/899/EXP/ES/2015,-116.5914,31.84799,19.69,22.49,Baja California
425,2464,"PETROMAX, S.A. DE C.V.",PL/457/EXP/ES/2015,-117.0592,32.36537,18.69,20.79,Baja California
449,2488,SERVICIO LOS OLIVOS S.A. DE C.V.(E4394),PL/751/EXP/ES/2015,-116.5828,31.86382,19.89,21.65,Baja California
453,2492,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/717/EXP/ES/2015,-116.888,32.51298,18.29,21.99,Baja California
463,2502,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/667/EXP/ES/2015,-117.0456,32.52269,19.99,22.99,Baja California
473,2512,"GASMAX, S.A. DE C.V.",PL/645/EXP/ES/2015,-117.0615,32.50606,19.99,22.79,Baja California
474,2513,"PETROMAX, S.A. DE C.V.",PL/548/EXP/ES/2015,-116.6105,31.88323,19.79,21.79,Baja California
480,2519,"ESTACION CUCAPAH, S.A. DE C.V.",PL/706/EXP/ES/2015,-116.8729,32.51395,19.99,22.99,Baja California
483,2522,"SERVICIO CIBOLA, S.A. DE C.V.",PL/715/EXP/ES/2015,-116.853,32.51282,19.99,22.99,Baja California
485,2524,"ESTACION RIO TIJUANA, S. DE R.L. DE C.V.",PL/666/EXP/ES/2015,-116.847,32.4689,19.99,22.99,Baja California
497,2536,"SERVICIO DRAKO, S. DE R.L. DE C.V.",PL/876/EXP/ES/2015,-116.9091,32.49984,19.99,22.99,Baja California
501,2540,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/677/EXP/ES/2015,-117.024,32.52136,20.49,22.99,Baja California
513,2552,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/640/EXP/ES/2015,-117.0121,32.51887,20.49,22.99,Baja California
523,2562,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/672/EXP/ES/2015,-116.844,32.46996,19.99,22.99,Baja California
532,2571,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/679/EXP/ES/2015,-117.0468,32.48268,19.99,22.99,Baja California
533,2586,DAGAL SA DE CV,PL/1346/EXP/ES/2015,-115.0736,32.55221,19.69,21.59,Baja California
535,2588,"FELIX GAS, S.A. DE C.V.",PL/1366/EXP/ES/2015,-116.6868,31.88656,19.99,21.89,Baja California
542,2595,DAGAL SA DE CV,PL/1426/EXP/ES/2015,-114.9992,32.56931,19.69,21.59,Baja California
543,2596,DAGAL SA DE CV,PL/1365/EXP/ES/2015,-115.3106,32.47156,19.79,21.59,Baja California
547,2600,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/1379/EXP/ES/2015,-116.5731,31.7198,19.99,22.29,Baja California
551,2604,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/1390/EXP/ES/2015,-116.9273,32.49059,19.99,22.49,Baja California
557,2610,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/1386/EXP/ES/2015,-117.0291,32.53864,19.99,22.29,Baja California
575,2628,SERVICIO MANEADERO S.A. DE C.V.,PL/1367/EXP/ES/2015,-116.5835,31.74066,19.99,21.89,Baja California
634,2687,IGNACIO FELIX COTA,PL/1369/EXP/ES/2015,-116.5997,31.82787,19.99,21.89,Baja California
635,2688,DAGAL SA DE CV,PL/1427/EXP/ES/2015,-115.0746,32.31147,19.77,21.99,Baja California
640,2693,EPAY SA DE CV,PL/1373/EXP/ES/2015,-116.9431,32.42402,19.49,21.39,Baja California
644,2697,Y S.A. DE C.V.,PL/1376/EXP/ES/2015,-116.5643,32.10115,19.97,21.39,Baja California
646,2699,SERVICIOS DEL PUERTO SA DE CV,PL/1335/EXP/ES/2015,-115.1934,32.41884,19.79,21.59,Baja California
664,2717,SERVICIO ROSA S.A. DE C.V.,PL/1408/EXP/ES/2015,-116.5824,31.86871,19.59,22.49,Baja California
669,2723,LABRADOR AZTECA S.A. DE C.V.,PL/1375/EXP/ES/2015,-116.5994,31.89762,19.69,21.59,Baja California
693,2747,DAGAL SA DE CV,PL/1364/EXP/ES/2015,-114.9274,32.60773,19.69,21.59,Baja California
698,2752,"SERVICIO CIBOLA, S.A. DE C.V.",PL/931/EXP/ES/2015,-115.4354,32.61038,18.45,21.29,Baja California
720,2774,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/932/EXP/ES/2015,-116.7908,32.47071,20.89,22.79,Baja California
722,2776,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/927/EXP/ES/2015,-116.866,32.46434,19.99,22.99,Baja California
726,2780,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/930/EXP/ES/2015,-117.0717,32.53326,19.99,21.99,Baja California
741,2795,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/940/EXP/ES/2015,-116.8404,32.4881,19.99,22.99,Baja California
747,2801,Becktrop Operadora SA de CV,PL/1297/EXP/ES/2015,-117.0236,32.43373,19.29,21.99,Baja California
748,2802,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/998/EXP/ES/2015,-116.9096,32.5456,20.19,22.99,Baja California
757,2811,Inmobiliaria 16,PL/1189/EXP/ES/2015,-117.0097,32.53289,18.79,21.19,Baja California
777,2831,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/935/EXP/ES/2015,-116.9398,32.54281,19.69,21.99,Baja California
794,2848,"ESTACION LA VICTORIA, S.A. DE C.V.",PL/997/EXP/ES/2015,-117.0136,32.44267,19.99,22.99,Baja California
796,2850,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/1239/EXP/ES/2015,-115.3506,32.64406,18.24,20.19,Baja California
817,2871,"ESTACION PIRU, S.A. DE C.V.",PL/1238/EXP/ES/2015,-116.8983,32.51165,17.85,20.97,Baja California
823,2877,"PETROLIFEROS LA TERRITORIAL, S. DE R.L. DE C.V.",PL/1030/EXP/ES/2015,-115.1031,32.2855,19.99,21.99,Baja California
835,2889,"ESTACION PIRU, S.A. DE C.V.",PL/1235/EXP/ES/2015,-117.0423,32.4324,19.39,21.89,Baja California
842,2896,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/928/EXP/ES/2015,-116.9875,32.51387,20.39,22.69,Baja California
862,2916,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/939/EXP/ES/2015,-116.8549,32.47547,19.99,22.99,Baja California
878,2932,"SERV.EL TRIANGULO DEL REFUGIO,S.DER.L.DEC.V.",PL/929/EXP/ES/2015,-115.3888,32.59601,19.55,21.69,Baja California
922,2976,Becktrop Operadora SA de CV,PL/1293/EXP/ES/2015,-116.8828,32.49379,19.29,21.99,Baja California
933,2987,COMBUSTIBLES EL CENTENARIO S.A DE C.V.,PL/934/EXP/ES/2015,-115.5245,32.62205,17.99,21.19,Baja California
951,3005,"SKYGAS, S. DE R.L. DE C.V.",PL/1029/EXP/ES/2015,-115.4442,32.66677,19.69,21.69,Baja California
996,3051,"ESTACION PIRU, S.A. DE C.V.",PL/1062/EXP/ES/2015,-116.9288,32.46458,19.39,21.33,Baja California
1017,3072,SUPER SERVICIO VITAL S.A. DE C.V.,PL/1064/EXP/ES/2015,-115.4623,32.63267,18.87,20.37,Baja California
1053,3108,Grupo Inmobiliario Baybarr S.A. de C.V.,PL/1061/EXP/ES/2015,-116.8883,32.51502,17.99,20.95,Baja California
1055,3110,"INMOBILIARIA ESCOCHA, S.A. DE C.V.",PL/1181/EXP/ES/2015,-116.9454,32.51836,19.3,21.29,Baja California
1062,3117,Becktrop Operadora SA de CV,PL/1295/EXP/ES/2015,-115.4844,32.66203,18.99,20.99,Baja California
1072,3127,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/937/EXP/ES/2015,-116.8846,32.50079,18.49,21.99,Baja California
1090,3145,"EST. DE SERV. PUERTA DE MEXICO,S.DER.L.DECV",PL/936/EXP/ES/2015,-116.8536,32.49051,19.99,22.99,Baja California
1098,3153,"SERVICIO CIBOLA, S.A. DE C.V.",PL/999/EXP/ES/2015,-115.4234,32.56962,19.69,21.69,Baja California
1106,3161,JORGE ISAAC LOPEZ ROCHIN,PL/1378/EXP/ES/2015,-116.6229,31.87244,19.59,21.39,Baja California
1172,3227,"Estacion Arreola, S.A. de C.V.",PL/1531/EXP/ES/2015,-117.0351,32.53529,19.29,21.6,Baja California
1211,3266,"Estacion Arreola, S.A. de C.V.",PL/1530/EXP/ES/2015,-117.0315,32.53159,19.39,21.6,Baja California
1267,3322,SERVICIO ROSA S.A. DE C.V.,PL/1830/EXP/ES/2015,-116.6079,31.8691,19.99,22.49,Baja California
1272,3327,"ESTACION ORO, S.A. DE C.V.",PL/1941/EXP/ES/2015,-116.8817,32.51316,17.99,21.39,Baja California
1326,3381,Estación de Servicios Pórticos,PL/1558/EXP/ES/2015,-117.0271,32.44283,18.49,21.09,Baja California
1374,3429,"ESTACION ORO, S.A. DE C.V.",PL/1547/EXP/ES/2015,-116.9613,32.51292,18.09,20.89,Baja California
1389,3444,SERVICIO CORTEZ S.A.,PL/1827/EXP/ES/2015,-116.5934,31.86245,20.07,22.07,Baja California
1622,3677,"ESTACION RAEL, S. DE R.L. DE C.V.",PL/1508/EXP/ES/2015,-116.9631,32.49732,18.99,22.99,Baja California
1639,3694,AUTO SERVICIO CORAL SA DE CV,PL/2101/EXP/ES/2015,-116.607,31.86465,19.79,21.69,Baja California
1702,3757,"ESTACION DE SERVICIO EL PALOMAR, S.A. DE C.V.",PL/2081/EXP/ES/2015,-116.4114,31.55621,20.5,21.85,Baja California
1710,3765,SERVICIO ROSA S.A. DE C.V.,PL/2223/EXP/ES/2015,-116.5778,31.87416,19.87,21.57,Baja California
1736,3791,"ESTACION PIRU, S.A. DE C.V.",PL/2109/EXP/ES/2015,-116.8866,32.46013,19.29,21.99,Baja California
1740,3795,estaciones de servicio eli sa de cv,PL/2108/EXP/ES/2015,-115.087,32.29592,19.78,21.6,Baja California
1751,3806,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/2098/EXP/ES/2015,-117.0147,32.49097,18.69,22.99,Baja California
1817,3872,SERVICIO ROSA S.A. DE C.V.,PL/2377/EXP/ES/2015,-116.5759,31.88754,19.77,21.47,Baja California
1854,3909,Grupo Garcia Montaño SA de CV,PL/2417/EXP/ES/2015,-115.3936,32.66928,18.89,20.89,Baja California
1908,3963,"SERVICIO FLORIDO, S.A. DE C.V.",PL/2319/EXP/ES/2015,-116.8873,32.4606,19.29,21.99,Baja California
1917,3972,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/2384/EXP/ES/2015,-116.9588,32.53116,19.99,22.19,Baja California
1953,4024,Grupo Garcia Montaño SA de CV,PL/2458/EXP/ES/2015,-115.4755,32.66548,18.89,20.89,Baja California
1968,4039,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/2411/EXP/ES/2015,-115.3929,32.63813,18.79,20.67,Baja California
2000,4072,ESTACION DE SERVICIO PUNTA PIEDRA S DE RL DE CV,PL/2416/EXP/ES/2015,-116.5864,31.79224,19.87,21.39,Baja California
2024,4096,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/2398/EXP/ES/2015,-117.0545,32.366,18.99,20.99,Baja California
2033,4105,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/2410/EXP/ES/2015,-117.053,32.39994,20.19,21.79,Baja California
2061,4133,DAGAL SA DE CV,PL/2280/EXP/ES/2015,-114.861,32.63257,19.09,21.59,Baja California
2081,4153,GABRIELA LEDESMA VENTURA,PL/2413/EXP/ES/2015,-116.6047,31.87483,19.87,21.39,Baja California
2194,4361,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/2742/EXP/ES/2015,-116.7457,32.4732,20.59,21.99,Baja California
2231,4398,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/2773/EXP/ES/2015,-115.4529,32.65307,18.85,20.79,Baja California
2240,4407,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/2774/EXP/ES/2015,-116.595,31.80374,19.97,21.93,Baja California
2283,4450,INMOBILIARIA CHEVIGAS S.A. DE C.V.,PL/2715/EXP/ES/2015,-116.9036,32.53648,20.1,21.75,Baja California
2333,4500,ORLANDOS SMART S DE R L DE C V,PL/2821/EXP/ES/2015,-116.6537,31.97683,19.97,21.39,Baja California
2370,4537,"Auto Servicio Santa Maria, S.A. de C.V.",PL/2609/EXP/ES/2015,-115.88,30.42242,20.92,21.99,Baja California
2439,4606,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/2843/EXP/ES/2015,-116.9469,32.47497,19.39,22.99,Baja California
2455,4629,CHALOGAS INMOBILIARIA S.A. DE C.V.,PL/5066/EXP/ES/2015,-116.99,32.47987,18.99,20.49,Baja California
2512,4686,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/5697/EXP/ES/2015,-115.3931,32.63831,18.31,20.27,Baja California
2541,4715,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/5302/EXP/ES/2015,-116.6016,31.83751,19.97,21.93,Baja California
2546,4720,"LUIS ALVAREZ E HIJOS, S.A. DE C.V.",PL/5882/EXP/ES/2015,-117.0008,32.44711,19.89,21.89,Baja California
2567,4741,"AUTOSERVICIO BIENESTAR, S.A. DE C.V.",PL/5320/EXP/ES/2015,-116.8437,32.50762,19.29,21.99,Baja California
2598,4772,"AUTOSERVICIO BENITEZ, SA DE CV",PL/5259/EXP/ES/2015,-116.9308,32.48259,19.89,21.95,Baja California
2606,4780,OPERADORA SAGUARO BAJA S.A DE C.V,PL/5434/EXP/ES/2015,-115.4314,32.63935,18.89,20.39,Baja California
2625,4799,"ESTACION PIRU, S.A. DE C.V.",PL/6081/EXP/ES/2015,-116.9934,32.51192,19.39,21.39,Baja California
2663,4837,SIDRONIO RODRIGUEZ MORA,PL/5865/EXP/ES/2015,-115.4003,32.59191,18.49,20.89,Baja California
2676,4850,MAGAM SA DE CV,PL/5903/EXP/ES/2015,-116.9484,32.48659,19.99,21.99,Baja California
2747,4921,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/6130/EXP/ES/2015,-116.6125,32.57233,19.69,21.59,Baja California
2784,4958,"PETROMAX, S.A. DE C.V.",PL/5818/EXP/ES/2015,-116.9168,32.46627,18.34,20.49,Baja California
2789,4963,"PETROMAX, S.A. DE C.V.",PL/5819/EXP/ES/2015,-116.9412,32.53352,18.84,20.85,Baja California
2790,4964,OPERADORA SAGUARO BAJA S.A DE C.V,PL/5529/EXP/ES/2015,-115.4659,32.63592,18.89,20.39,Baja California
2816,4991,"ESTACION DE SERVICIO PUERTA GRANDE,  S. DE R.L. DE C.V.",PL/6049/EXP/ES/2015,-116.6249,32.56594,17.99,21.59,Baja California
2837,5012,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/5884/EXP/ES/2015,-117.034,32.52591,19.99,22.29,Baja California
2859,5034,"GASSHOP, S.A. DE C.V.",PL/5356/EXP/ES/2015,-115.4476,32.63582,18.99,21.19,Baja California
2876,5051,OPERADORA SAGUARO BAJA S.A DE C.V,PL/5536/EXP/ES/2015,-115.3751,32.60199,18.89,20.39,Baja California
2878,5053,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,PL/5088/EXP/ES/2015,-115.3394,32.5695,18.73,20.83,Baja California
2898,5073,"SERVICIO HORTA DE ENSENADA, SA DE CV",PL/6128/EXP/ES/2015,-116.6089,31.85023,19.29,21.59,Baja California
2974,5149,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/5731/EXP/ES/2015,-115.3854,32.61482,19.49,21.69,Baja California
3016,5191,"ESTACION RIO TIJUANA, S. DE R.L. DE C.V.",PL/5484/EXP/ES/2015,-116.881,32.48656,18.99,22.99,Baja California
3087,5262,BERTHA ARACELI MORALES MERCADO,PL/5399/EXP/ES/2015,-115.4765,32.62331,19.1,20.75,Baja California
3099,5274,ESTACION DE SERVICIO GONZALEZ SA DE CV,PL/6091/EXP/ES/2015,-115.4428,32.62119,18.67,20.9,Baja California
3149,5324,"SERVICIO ROBLES, S.A. DE C.V.",PL/5115/EXP/ES/2015,-115.4529,32.64848,18.87,20.79,Baja California
3156,5331,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/5095/EXP/ES/2015,-115.369,32.57447,18.49,20.29,Baja California
3222,5397,"ESTACION PIRU, S.A. DE C.V.",PL/5758/EXP/ES/2015,-116.9571,32.49983,18.59,21.59,Baja California
3251,5426,"LUIS ALVAREZ E HIJOS, S.A. DE C.V.",PL/6057/EXP/ES/2015,-116.9257,32.46844,19.69,21.95,Baja California
3252,5427,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/5097/EXP/ES/2015,-115.4694,32.60802,18.39,20.29,Baja California
3300,5475,"ESTACION PIRU, S.A. DE C.V.",PL/6070/EXP/ES/2015,-116.8491,32.48064,19.29,21.99,Baja California
3371,5548,Gasbrisas S.A. de C.V.,PL/5523/EXP/ES/2015,-116.9585,32.4935,19.99,22.29,Baja California
3413,5590,"OPERADORA TIERRA CALIDA, S.A. DE C.V.",PL/6133/EXP/ES/2015,-115.4724,32.62418,19.05,21.05,Baja California
3563,5741,"LUIS ALVAREZ E HIJOS, S.A. DE C.V.",PL/5859/EXP/ES/2015,-116.9168,32.4896,19.99,21.95,Baja California
3599,5778,GRUPO EMPRESARIAL CACHANILLA SA DE CV,PL/4567/EXP/ES/2015,-115.3563,32.58219,18.49,20.29,Baja California
3623,5802,INMOBILIARIA RORIBE SA DE CV,PL/4395/EXP/ES/2015,-117.0221,32.53306,19.49,21.95,Baja California
3641,5820,GRUPO EL REY CORPORATIVO S. DE R.L. DE C.V.,PL/4374/EXP/ES/2015,-115.4057,32.61737,18.89,20.7,Baja California
3666,5845,Grupo Uniones SA de CV,PL/4927/EXP/ES/2015,-116.9971,32.54032,19.99,21.79,Baja California
